direct.k	pass123	20180101	ダイレクト　会長	ダイレクト　カイチョウ	Direct, K	19950401	
direct.p	pass123	20180101	ダイレクト　社長	ダイレクト　シャチョウ	Direct, P	19950401	
direct.s	pass123	20180101	ダイレクト　専務	ダイレクト　センム	Direct, S	19950401	
com.b	pass123	20180101	総務　部長	ソウム　ブチョウ	Com, B	19950401	
com.k	pass123	20180101	総務　課長	ソウム　カチョウ	Com, K	19950401	
com.e1	pass123	20180101	総務　社員１	ソウム　シャイン１	Com, E1	19950401	
com.e2	pass123	20180101	総務　社員２	ソウム　シャイン２	Com, E2	19950401	
sales.b	pass123	20180101	営業　部長	エイギョウ　ブチョウ	Sales, B	19950401	
sales.k	pass123	20180101	営業　課長	エイギョウ　カチョウ	Sales, K	19950401	
sales.e1	pass123	20180101	営業　社員１	エイギョウ　シャイン１	Sales, E1	19950401	
sales.e2	pass123	20180101	営業　社員２	エイギョウ　シャイン２	Sales, E2	19950401	
sys1.b	pass123	20180101	シス１　部長	シス１　ブチョウ	Sys1, B	19950401	
sys1.k	pass123	20180101	シス１　課長	シス１　カチョウ	Sys1, K	19950401	
sys1.e1	pass123	20180101	シス１　社員１	シス１　シャイン１	Sys1, E1	19950401	
sys1.e2	pass123	20180101	シス１　社員２	シス１　シャイン２	Sys1, E2	19950401	
sys2.b	pass123	20180101	シス２　部長	シス２　ブチョウ	Sys2, B	19950401	
sys2.k	pass123	20180101	シス２　課長	シス２　カチョウ	Sys2, K	19950401	
sys2.e1	pass123	20180101	シス２　社員１	シス２　シャイン１	Sys2, E1	19950401	
sys2.e2	pass123	20180101	シス２　社員２	シス２　シャイン２	Sys2, E2	19950401	
sys3.b	pass123	20180101	シス３　部長	シス３　ブチョウ	Sys3, B	19950401	
sys3.k	pass123	20180101	シス３　課長	シス３　カチョウ	Sys3, K	19950401	
sys3.e1	pass123	20180101	シス３　社員１	シス３　シャイン１	Sys3, E1	19950401	
sys3.e2	pass123	20180101	シス３　社員２	シス３　シャイン２	Sys3, E2	19950401	
